pair,m0_tag,m1_tag,metric,m0,m1,diff_or_value,ci_low,ci_high,direction
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,pooled_capture_hazard,0.028774453899464866,0.06007486942682298,0.031300415527358114,0.02919976154465628,0.03354496083946487,UP
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,pooled_gap_stop_hazard,0.040092864360294474,0.015421612319639942,-0.024671252040654533,-0.027270424511729775,-0.022250439367812503,DOWN
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,pooled_inepisode_stop_hazard,0.04021656034990538,0.022953979960099527,-0.017262580389805854,-0.019213713403825074,-0.015460041433573435,DOWN
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,cif_capture_final,0.2600263062465646,0.6087611732765427,0.3487348670299781,0.3331838949337927,0.36445967580688643,UP
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,cif_stop_final,0.7399736937534356,0.39123882672345733,-0.34873486702997825,-0.36445967580688693,-0.3331838949337911,DOWN
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,propensity_component,nan,nan,0.158357768400536,0.14665498899231424,0.17004725690194236,UP
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,exposure_component,nan,nan,0.1904281605906203,0.17923946745444833,0.20265925028526746,UP
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,decomposition_total,nan,nan,0.3487859289911563,0.33328881626518814,0.36455141897466975,UP
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,raw_cif_diff,nan,nan,0.3487348670299781,0.3331838949337927,0.36445967580688643,UP
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,capture_rate,0.25949367088607594,0.6057866184448463,0.3462929475587703,0.33080639692585895,0.36222875226039775,UP
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,stop_rate,0.739376130198915,0.38946654611211573,-0.3499095840867993,-0.36550632911392406,-0.3344230334538879,DOWN
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,censor_rate,0.0011301989150090416,0.004746835443037975,0.0036166365280289334,0.0020343580470162746,0.0054249547920434,UP
1p7b_CK_s42,qwen3-1.7b-cleanv2,qwen3-1.7b-keep4-s42,mean_episodes_experienced,9.018196202531646,10.083860759493671,1.065664556962025,0.7036533679927658,1.4186511075949368,UP
