tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-8b-cleanv2,qwen3-8b-cleanv2:356:5,356,404,0,0,0,16,58
qwen3-8b-cleanv2,qwen3-8b-cleanv2:359:5,359,29,0,0,0,4,23
qwen3-8b-cleanv2,qwen3-8b-cleanv2:369:0,369,54,0,0,0,4,36
qwen3-8b-cleanv2,qwen3-8b-cleanv2:369:1,369,2,0,0,0,1,36
qwen3-8b-cleanv2,qwen3-8b-cleanv2:369:2,369,12,0,0,0,1,36
qwen3-8b-cleanv2,qwen3-8b-cleanv2:369:3,369,370,0,0,0,3,36
qwen3-8b-cleanv2,qwen3-8b-cleanv2:369:4,369,468,0,0,0,2,36
qwen3-8b-cleanv2,qwen3-8b-cleanv2:369:5,369,439,0,0,0,4,36
qwen3-8b-cleanv2,qwen3-8b-cleanv2:369:7,369,470,0,0,0,5,36
qwen3-8b-cleanv2,qwen3-8b-cleanv2:375:3,375,6,0,0,0,6,41
qwen3-8b-cleanv2,qwen3-8b-cleanv2:376:5,376,105,0,0,0,19,69
qwen3-8b-cleanv2,qwen3-8b-cleanv2:376:6,376,13,0,0,0,8,69
qwen3-8b-cleanv2,qwen3-8b-cleanv2:376:7,376,28,0,0,0,16,69
qwen3-8b-cleanv2,qwen3-8b-cleanv2:377:2,377,70,0,0,0,26,70
qwen3-8b-cleanv2,qwen3-8b-cleanv2:382:5,382,91,0,0,0,18,45
qwen3-8b-cleanv2,qwen3-8b-cleanv2:389:1,389,6,0,0,0,12,63
qwen3-8b-cleanv2,qwen3-8b-cleanv2:390:5,390,35,33,3,5,36,115
qwen3-8b-cleanv2,qwen3-8b-cleanv2:394:2,394,11,0,0,0,34,45
qwen3-8b-cleanv2,qwen3-8b-cleanv2:395:3,395,509,0,0,0,3,19
qwen3-8b-cleanv2,qwen3-8b-cleanv2:395:5,395,34,0,0,0,4,19
qwen3-8b-cleanv2,qwen3-8b-cleanv2:405:3,405,3,0,0,0,14,31
qwen3-8b-cleanv2,qwen3-8b-cleanv2:406:5,406,367,0,0,0,7,29
qwen3-8b-cleanv2,qwen3-8b-cleanv2:407:1,407,7,0,0,0,14,43
qwen3-8b-cleanv2,qwen3-8b-cleanv2:418:5,418,0,0,0,0,9,31
qwen3-8b-cleanv2,qwen3-8b-cleanv2:425:6,425,4,0,0,0,14,40
qwen3-8b-cleanv2,qwen3-8b-cleanv2:426:0,426,15,0,0,0,6,54
qwen3-8b-cleanv2,qwen3-8b-cleanv2:426:4,426,0,0,0,0,10,54
qwen3-8b-cleanv2,qwen3-8b-cleanv2:426:7,426,2,0,0,0,9,54
qwen3-8b-cleanv2,qwen3-8b-cleanv2:432:0,432,0,0,0,0,10,46
qwen3-8b-cleanv2,qwen3-8b-cleanv2:432:4,432,70,0,0,0,10,46
qwen3-8b-cleanv2,qwen3-8b-cleanv2:432:6,432,11,0,0,0,13,46
qwen3-8b-cleanv2,qwen3-8b-cleanv2:432:7,432,7,0,0,0,8,46
qwen3-8b-cleanv2,qwen3-8b-cleanv2:434:3,434,42,0,0,0,12,52
qwen3-8b-cleanv2,qwen3-8b-cleanv2:435:5,435,426,0,0,0,22,47
qwen3-8b-cleanv2,qwen3-8b-cleanv2:439:2,439,0,0,0,0,24,56
qwen3-8b-cleanv2,qwen3-8b-cleanv2:441:0,441,460,0,0,0,24,83
qwen3-8b-cleanv2,qwen3-8b-cleanv2:441:3,441,44,0,0,0,32,83
qwen3-8b-cleanv2,qwen3-8b-cleanv2:441:5,441,16,0,0,0,28,83
