tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:119:6,119,0,0,0,0,8,86
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:119:7,119,398,0,0,0,7,86
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:123:2,123,244,0,0,0,21,112
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:123:4,123,169,0,0,0,21,112
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:123:6,123,16,0,0,0,31,112
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:123:7,123,23,0,0,0,33,112
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:127:7,127,1,0,0,0,34,93
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:132:0,132,0,0,0,0,8,53
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:132:3,132,131,0,0,0,3,53
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:132:6,132,8,0,0,0,10,53
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:132:7,132,12,0,0,0,6,53
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:134:0,134,266,0,0,0,21,64
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:134:1,134,242,0,0,0,22,64
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:134:2,134,368,0,0,0,17,64
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:134:3,134,216,0,0,0,17,64
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:134:4,134,225,0,0,0,22,64
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:134:5,134,35,0,0,0,16,64
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:134:6,134,256,0,0,0,12,64
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:134:7,134,361,0,0,0,15,64
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:138:0,138,0,0,0,0,11,83
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:138:2,138,174,0,0,0,17,83
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:138:3,138,5,0,0,0,14,83
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:138:4,138,6,0,0,0,20,83
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:138:6,138,32,0,0,0,14,83
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:144:3,144,10,0,0,0,18,41
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:144:4,144,0,0,0,0,19,41
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:144:7,144,417,0,0,0,24,41
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:146:4,146,0,0,0,0,18,72
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:147:0,147,2,0,0,0,33,47
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:147:3,147,11,0,0,0,23,47
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:147:4,147,45,31,2,12,24,47
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:147:6,147,383,0,0,0,26,47
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:147:7,147,9,0,0,0,23,47
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:151:2,151,86,65,1,6,21,35
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:151:3,151,323,0,0,0,21,35
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:154:1,154,57,0,0,0,2,77
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:154:2,154,17,0,0,0,2,77
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:154:3,154,369,0,0,0,6,77
qwen3-4b-obr-p15-s123,qwen3-4b-obr-p15-s123:154:4,154,485,0,0,0,3,77
