metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,contrast,m0_tag,m1_tag
relaxed_f1,0.33887731691553613,0.3264385512635495,-0.01243876565198665,-0.015620062135393692,-0.009227651410206544,1106,8848,8848,m1_lower,keep4-AE - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4ae-s42
semantic_capture_rate,0.05515370705244123,0.32301084990958406,0.26785714285714285,0.2512403933092224,0.2840218128390597,1106,8848,8848,m1_higher,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
stable_orbit_rate,0.00599005424954792,0.07041139240506329,0.06442133815551537,0.05764014466546113,0.07109233725135622,1106,8848,8848,m1_higher,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
hit_max_rate,0.011415009041591321,0.21055605786618445,0.19914104882459313,0.18433261754068717,0.2147377938517179,1106,8848,8848,m1_higher,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
runaway_any_rate,0.010962929475587703,0.20976491862567812,0.19880198915009042,0.18388336347197107,0.21428571428571427,1106,8848,8848,m1_higher,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
json_list_complete_rate,0.9873417721518988,0.7868444846292948,-0.20049728752260398,-0.2158708182640145,-0.185688856238698,1106,8848,8848,m1_lower,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
gen_tokens_mean,4733.512658227848,11000.774525316456,6267.261867088608,5935.103023282098,6622.20880142405,1106,8848,8848,m1_higher,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
n_blocks_mean,80.91478300180832,192.67246835443038,111.75768535262206,105.54936143761302,118.2213099005425,1106,8848,8848,m1_higher,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
out_of_candidate_block_rate,0.027345255790861518,0.27110438095038486,0.24375912515952333,0.23117393028454072,0.2570233549274266,1106,8848,8848,m1_higher,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
out_of_text_endpoint_rate,0.011093495245966308,0.1307263857814293,0.119632890535463,0.10876756201328211,0.1310772894567055,1106,8848,8848,m1_higher,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
strict_f1,0.09074541474238673,0.08217328712540317,-0.00857212761698356,-0.01066946878117974,-0.006439513648434465,1106,8848,8848,m1_lower,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
relaxed_f1,0.33887731691553613,0.2913094407817419,-0.04756787613379421,-0.05222430319188226,-0.04283200661846722,1106,8848,8848,m1_lower,4B raw s42 - cleaned,qwen3-4b-cleanv2-s42,qwen3-4b-keep4-s42
