sample_id,stable_prompt_id,model_tag,seed,kind,seed_ordinal,prior_reuse_events,progress,after_1g,after_1_25g,after_last_new_relaxed,relaxed_coverage,relaxed_fraction_of_final
M0:294:5,294,M0,5,primary_semantic_capture,10,9,1.4177215189873418,True,True,True,0.27848101265822783,1.0
M0:298:0,298,M0,0,primary_semantic_capture,5,4,1.2911392405063291,True,True,True,0.5949367088607594,1.0
M0:298:3,298,M0,3,primary_semantic_capture,20,19,1.8734177215189873,True,True,True,0.4936708860759494,1.0
M0:298:4,298,M0,4,primary_semantic_capture,13,12,1.1518987341772151,True,False,True,0.5443037974683544,1.0
M0:298:5,298,M0,5,primary_semantic_capture,22,21,1.4177215189873418,True,True,True,0.3924050632911392,1.0
M0:301:3,301,M0,3,primary_semantic_capture,9,8,1.3846153846153846,True,True,True,0.358974358974359,1.0
M0:314:3,314,M0,3,primary_semantic_capture,1,0,1.2222222222222223,True,False,True,0.4166666666666667,1.0
M0:323:7,323,M0,7,primary_semantic_capture,2,1,4.5,True,True,True,0.13636363636363635,1.0
M0:325:0,325,M0,0,primary_semantic_capture,5,4,0.8333333333333334,False,False,True,0.1,1.0
M0:325:1,325,M0,1,primary_semantic_capture,3,2,0.6,False,False,True,0.13333333333333333,1.0
M0:325:2,325,M0,2,primary_semantic_capture,2,1,0.4,False,False,True,0.06666666666666667,1.0
M0:325:7,325,M0,7,primary_semantic_capture,4,3,0.9333333333333333,False,False,True,0.06666666666666667,1.0
M0:325:7,325,M0,7,legacy_aligned_capture,4,3,0.9333333333333333,False,False,True,0.06666666666666667,1.0
M0:328:5,328,M0,5,primary_semantic_capture,11,10,1.2058823529411764,True,False,True,0.08823529411764706,1.0
M0:328:6,328,M0,6,primary_semantic_capture,49,48,3.3529411764705883,True,True,True,0.08823529411764706,1.0
M0:329:2,329,M0,2,primary_semantic_capture,10,9,1.3103448275862069,True,True,True,0.22413793103448276,1.0
M0:329:4,329,M0,4,primary_semantic_capture,9,8,1.5689655172413792,True,True,True,0.27586206896551724,1.0
M0:332:4,332,M0,4,primary_semantic_capture,1,0,1.0,True,False,True,0.4782608695652174,1.0
M0:336:7,336,M0,7,primary_semantic_capture,9,8,1.5957446808510638,True,True,True,0.02127659574468085,1.0
M0:342:4,342,M0,4,primary_semantic_capture,1,0,1.0434782608695652,True,False,False,0.17391304347826086,0.5714285714285714
M0:343:2,343,M0,2,primary_semantic_capture,16,15,1.0175438596491229,True,False,True,0.2807017543859649,1.0
M0:345:4,345,M0,4,primary_semantic_capture,6,5,1.0,True,False,True,0.12790697674418605,1.0
M0:345:7,345,M0,7,primary_semantic_capture,19,18,1.1046511627906976,True,False,True,0.12790697674418605,1.0
M0:347:0,347,M0,0,primary_semantic_capture,10,9,0.5714285714285714,False,False,True,0.17582417582417584,1.0
M0:348:5,348,M0,5,primary_semantic_capture,6,5,2.2903225806451615,True,True,True,0.1935483870967742,1.0
M0:348:5,348,M0,5,legacy_aligned_capture,7,6,2.3225806451612905,True,True,True,0.1935483870967742,1.0
M0:355:0,355,M0,0,primary_semantic_capture,20,19,1.1607142857142858,True,False,True,0.25,1.0
M0:356:0,356,M0,0,primary_semantic_capture,8,7,1.0517241379310345,True,False,True,0.3275862068965517,1.0
M0:356:2,356,M0,2,primary_semantic_capture,2,1,0.6724137931034483,False,False,True,0.1724137931034483,1.0
M0:356:3,356,M0,3,primary_semantic_capture,15,14,0.8620689655172413,False,False,True,0.25862068965517243,1.0
M0:356:4,356,M0,4,primary_semantic_capture,14,13,1.0517241379310345,True,False,True,0.2413793103448276,1.0
M0:356:5,356,M0,5,primary_semantic_capture,4,3,0.8275862068965517,False,False,True,0.27586206896551724,1.0
M0:356:5,356,M0,5,legacy_aligned_capture,4,3,0.8275862068965517,False,False,True,0.27586206896551724,1.0
M0:359:5,359,M0,5,primary_semantic_capture,12,11,2.1739130434782608,True,True,True,0.17391304347826086,1.0
M0:369:0,369,M0,0,primary_semantic_capture,4,3,1.1666666666666667,True,False,True,0.1111111111111111,1.0
M0:369:1,369,M0,1,primary_semantic_capture,9,8,1.3888888888888888,True,True,True,0.027777777777777776,1.0
M0:369:2,369,M0,2,primary_semantic_capture,4,3,1.1388888888888888,True,False,True,0.027777777777777776,1.0
M0:369:3,369,M0,3,primary_semantic_capture,7,6,1.3888888888888888,True,True,True,0.08333333333333333,1.0
M0:369:4,369,M0,4,primary_semantic_capture,7,6,1.6388888888888888,True,True,True,0.05555555555555555,1.0
M0:369:4,369,M0,4,legacy_aligned_capture,7,6,1.6388888888888888,True,True,True,0.05555555555555555,1.0
M0:369:5,369,M0,5,primary_semantic_capture,6,5,1.3611111111111112,True,True,True,0.1111111111111111,1.0
M0:369:7,369,M0,7,primary_semantic_capture,14,13,1.2777777777777777,True,True,True,0.1388888888888889,1.0
M0:375:3,375,M0,3,primary_semantic_capture,17,16,1.4634146341463414,True,True,True,0.14634146341463414,1.0
M0:376:5,376,M0,5,primary_semantic_capture,13,12,1.0724637681159421,True,False,True,0.2753623188405797,1.0
M0:376:6,376,M0,6,primary_semantic_capture,4,3,0.6956521739130435,False,False,True,0.11594202898550725,1.0
M0:376:7,376,M0,7,primary_semantic_capture,1,0,0.782608695652174,False,False,True,0.2318840579710145,1.0
M0:377:2,377,M0,2,primary_semantic_capture,10,9,1.4857142857142858,True,True,True,0.37142857142857144,1.0
M0:382:5,382,M0,5,primary_semantic_capture,1,0,1.2222222222222223,True,False,True,0.4,1.0
M0:389:1,389,M0,1,primary_semantic_capture,2,1,0.7777777777777778,False,False,True,0.19047619047619047,1.0
M0:390:5,390,M0,5,primary_semantic_capture,1,0,0.4260869565217391,False,False,False,0.26956521739130435,0.8611111111111112
M0:394:2,394,M0,2,primary_semantic_capture,2,1,1.5555555555555556,True,True,True,0.7555555555555555,1.0
M0:395:3,395,M0,3,primary_semantic_capture,22,21,2.9473684210526314,True,True,True,0.15789473684210525,1.0
M0:395:5,395,M0,5,primary_semantic_capture,5,4,4.0,True,True,True,0.21052631578947367,1.0
M0:405:3,405,M0,3,primary_semantic_capture,4,3,2.3870967741935485,True,True,True,0.45161290322580644,1.0
M0:406:5,406,M0,5,primary_semantic_capture,3,2,1.206896551724138,True,False,True,0.2413793103448276,1.0
M0:407:1,407,M0,1,primary_semantic_capture,1,0,1.7209302325581395,True,True,True,0.32558139534883723,1.0
M0:418:5,418,M0,5,primary_semantic_capture,1,0,1.903225806451613,True,True,True,0.2903225806451613,1.0
M0:425:6,425,M0,6,primary_semantic_capture,4,3,1.275,True,True,True,0.35,1.0
M0:426:0,426,M0,0,primary_semantic_capture,5,4,0.7037037037037037,False,False,True,0.1111111111111111,1.0
M0:426:4,426,M0,4,primary_semantic_capture,6,5,1.1481481481481481,True,False,True,0.18518518518518517,1.0
M0:426:7,426,M0,7,primary_semantic_capture,3,2,0.7407407407407407,False,False,True,0.16666666666666666,1.0
M0:432:0,432,M0,0,primary_semantic_capture,1,0,0.8260869565217391,False,False,True,0.21739130434782608,1.0
M0:432:4,432,M0,4,primary_semantic_capture,3,2,0.9130434782608695,False,False,True,0.21739130434782608,1.0
M0:432:6,432,M0,6,primary_semantic_capture,3,2,0.9782608695652174,False,False,True,0.2826086956521739,1.0
M0:432:7,432,M0,7,primary_semantic_capture,2,1,1.0,True,False,True,0.17391304347826086,1.0
M0:434:3,434,M0,3,primary_semantic_capture,9,8,1.3846153846153846,True,True,True,0.23076923076923078,1.0
M0:435:5,435,M0,5,primary_semantic_capture,9,8,1.2765957446808511,True,True,True,0.46808510638297873,1.0
M0:439:2,439,M0,2,primary_semantic_capture,4,3,1.5,True,True,True,0.42857142857142855,1.0
M0:441:0,441,M0,0,primary_semantic_capture,8,7,0.9518072289156626,False,False,True,0.2891566265060241,1.0
M0:441:3,441,M0,3,primary_semantic_capture,13,12,1.0963855421686748,True,False,True,0.3855421686746988,1.0
M0:441:5,441,M0,5,primary_semantic_capture,15,14,1.4578313253012047,True,True,True,0.3373493975903614,1.0
M0:441:6,441,M0,6,primary_semantic_capture,2,1,1.0240963855421688,True,False,True,0.3493975903614458,1.0
M0:441:7,441,M0,7,primary_semantic_capture,16,15,1.8433734939759037,True,True,True,0.30120481927710846,1.0
M0:451:1,451,M0,1,primary_semantic_capture,2,1,0.6470588235294118,False,False,True,0.29411764705882354,1.0
