metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,scale,model_tag,condition,comparison
eos_without_close_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,direction_a1,vs_random_mean
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,close_bias,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,direction_a0.5,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,direction_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,direction_a2,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random0_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random1_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random2_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random3_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random4_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random5_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random6_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,random7_a1,vs_baseline
unresolved_rate,0.0,0.0,0.0,0.0,0.0,118,128,128,interval_covers_zero,8B,qwen3-8b-keep4-s42,direction_a1,vs_random_mean
