scale,model_tag,role,condition,n_continuations,n_anchors,tail_capture,tail_capture_n,tail_orbit,tail_orbit_n,actual_eos,actual_eos_n,tail_hit_max,tail_hit_max_n,json_complete,json_complete_n,new_gold_triples,new_gold_triples_n,new_gold_pairs,new_gold_pairs_n,remaining_gold_pair_recall,remaining_gold_pair_recall_n,tail_tokens,tail_tokens_n,n_blocks_tail,n_blocks_tail_n
4B,qwen3-4b-keep4-s42,natural_stop,baseline,64,16,0.234375,64,0.0,64,0.90625,64,0.09375,64,0.90625,64,0.15625,64,0.390625,64,0.010302745500113921,64,2421.609375,64,37.71875,64
4B,qwen3-4b-keep4-s42,natural_stop,close_bias,64,16,0.203125,64,0.0,64,0.921875,64,0.078125,64,0.921875,64,0.203125,64,0.609375,64,0.01643312827523354,64,2225.703125,64,33.234375,64
4B,qwen3-4b-keep4-s42,natural_stop,direction_a1,64,16,0.125,64,0.0,64,0.90625,64,0.09375,64,0.90625,64,0.046875,64,0.296875,64,0.007937101275917065,64,2325.90625,64,36.46875,64
4B,qwen3-4b-keep4-s42,natural_stop,random_matched,64,16,0.15625,64,0.0,64,0.921875,64,0.078125,64,0.921875,64,0.203125,64,0.5625,64,0.01699561403508772,64,2085.125,64,30.828125,64
4B,qwen3-4b-keep4-s42,pre_first_reuse,baseline,64,16,0.28125,64,0.046875,64,0.828125,64,0.171875,64,0.828125,64,0.90625,64,3.171875,64,0.1059275005547106,64,7233.28125,64,132.640625,64
4B,qwen3-4b-keep4-s42,pre_first_reuse,close_bias,64,16,0.375,64,0.078125,64,0.8125,64,0.1875,64,0.8125,64,0.765625,64,2.59375,64,0.09078098883513128,64,7516.859375,64,138.140625,64
4B,qwen3-4b-keep4-s42,pre_first_reuse,direction_a1,64,16,0.265625,64,0.015625,64,0.859375,64,0.140625,64,0.859375,64,1.296875,64,3.859375,64,0.1422683720255693,64,6303.453125,64,110.765625,64
4B,qwen3-4b-keep4-s42,pre_first_reuse,random_matched,64,16,0.375,64,0.046875,64,0.8125,64,0.1875,64,0.8125,64,0.671875,64,2.984375,64,0.10826058187544355,64,7995.828125,64,142.515625,64
4B,qwen3-4b-obr-p15-s42,all,baseline,256,64,0.0703125,256,0.00390625,256,0.98828125,256,0.01171875,256,0.98828125,256,1.19140625,256,4.62890625,256,0.13366220626680106,256,2257.671875,256,38.70703125,256
4B,qwen3-4b-obr-p15-s42,all,close_bias,256,64,0.078125,256,0.0078125,256,0.98046875,256,0.01953125,256,0.98046875,256,0.95703125,256,4.08984375,256,0.12142988260644363,256,2218.8671875,256,38.62890625,256
4B,qwen3-4b-obr-p15-s42,all,direction_a1,256,64,0.08203125,256,0.0078125,256,0.9921875,256,0.0078125,256,0.9921875,256,1.08984375,256,4.23828125,256,0.12297380191155023,256,2173.890625,256,38.1796875,256
4B,qwen3-4b-obr-p15-s42,all,random_matched,256,64,0.05859375,256,0.00390625,256,0.98046875,256,0.01953125,256,0.9765625,256,1.03125,256,4.42578125,256,0.12747172862854575,256,2334.78125,256,41.80078125,256
4B,qwen3-4b-obr-p15-s42,early_remaining,baseline,128,32,0.078125,128,0.0078125,128,0.984375,128,0.015625,128,0.984375,128,1.9765625,128,8.046875,128,0.22843364782151696,128,3322.296875,128,57.515625,128
4B,qwen3-4b-obr-p15-s42,early_remaining,close_bias,128,32,0.1328125,128,0.015625,128,0.9609375,128,0.0390625,128,0.9609375,128,1.6796875,128,7.0859375,128,0.20078611731587492,128,3579.4921875,128,62.6015625,128
4B,qwen3-4b-obr-p15-s42,early_remaining,direction_a1,128,32,0.09375,128,0.0078125,128,0.9921875,128,0.0078125,128,0.9921875,128,1.96875,128,7.4609375,128,0.20969916826689808,128,3288.3828125,128,58.3515625,128
4B,qwen3-4b-obr-p15-s42,early_remaining,random_matched,128,32,0.0859375,128,0.0,128,0.96875,128,0.03125,128,0.9609375,128,1.78125,128,7.609375,128,0.21288637366659632,128,3484.25,128,62.2734375,128
4B,qwen3-4b-obr-p15-s42,natural_stop,baseline,64,16,0.03125,64,0.0,64,1.0,64,0.0,64,1.0,64,0.0,64,0.0,64,0.0,64,222.21875,64,3.4375,64
4B,qwen3-4b-obr-p15-s42,natural_stop,close_bias,64,16,0.0,64,0.0,64,1.0,64,0.0,64,1.0,64,0.0,64,0.015625,64,0.0003720238095238095,64,65.828125,64,1.078125,64
4B,qwen3-4b-obr-p15-s42,natural_stop,direction_a1,64,16,0.015625,64,0.0,64,1.0,64,0.0,64,1.0,64,0.0,64,0.0,64,0.0,64,184.796875,64,2.59375,64
4B,qwen3-4b-obr-p15-s42,natural_stop,random_matched,64,16,0.015625,64,0.0,64,1.0,64,0.0,64,1.0,64,0.0,64,0.0,64,0.0,64,230.65625,64,3.8125,64
4B,qwen3-4b-obr-p15-s42,pre_first_reuse,baseline,64,16,0.09375,64,0.0,64,0.984375,64,0.015625,64,0.984375,64,0.8125,64,2.421875,64,0.0777815294241704,64,2163.875,64,36.359375,64
4B,qwen3-4b-obr-p15-s42,pre_first_reuse,close_bias,64,16,0.046875,64,0.0,64,1.0,64,0.0,64,1.0,64,0.46875,64,2.171875,64,0.0837752719845009,64,1650.65625,64,28.234375,64
4B,qwen3-4b-obr-p15-s42,pre_first_reuse,direction_a1,64,16,0.125,64,0.015625,64,0.984375,64,0.015625,64,0.984375,64,0.421875,64,2.03125,64,0.07249687111240477,64,1934.0,64,33.421875,64
4B,qwen3-4b-obr-p15-s42,pre_first_reuse,random_matched,64,16,0.046875,64,0.015625,64,0.984375,64,0.015625,64,0.984375,64,0.5625,64,2.484375,64,0.08411416718099031,64,2139.96875,64,38.84375,64
