model_tag,model_path,probe_id,stable_prompt_id,m,anchor_region,k_1based,gold_blocks,s_R_C1,s_N_C1,s_R_C2,s_N_C2,s_R_C3,s_N_C3,gain_motif,gain_copy,gain_recovery,margin_c1,margin_c2,gain_second,seconds
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,feb4b0b3040571d594eb744c,950,8,early,25,105,-1.8992488384246826,-0.0358128547668457,-1.628948450088501,-0.09036898612976074,-1.39286208152771,-0.10849165916442871,0.3248565196990967,0.27030038833618164,0.05455613136291504,-1.863435983657837,-1.5385794639587402,0.254209041595459,1.03
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,78d9aa958886df4f24ee752f,1054,1,late,60,63,-1.2635934352874756,-1.5850673913955688,-0.6886069774627686,-1.495868444442749,-0.31582117080688477,-1.5093506574630737,0.4857875108718872,0.574986457824707,-0.08919894695281982,0.32147395610809326,0.8072614669799805,0.3862680196762085,1.56
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,3e05d493865f684d92088845,1054,2,mid,37,63,-0.8589723706245422,-0.3365987241268158,-0.2793239951133728,-0.218655064702034,-0.1525897979736328,-0.2919943034648895,0.46170471608638763,0.5796483755111694,-0.1179436594247818,-0.5223736464977264,-0.060668930411338806,0.20007343590259552,1.29
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,02a8d75f2c058571b16d76de,1054,4,early,13,63,-1.559255838394165,-1.05622136592865,-0.8552517890930176,-1.1420800685882568,-0.496701717376709,-1.198446273803711,0.7898627519607544,0.7040040493011475,0.08585870265960693,-0.5030344724655151,0.28682827949523926,0.4149162769317627,1.04
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,748984ddf774b6080d77d2e6,1054,8,late,50,63,-1.471541404724121,-1.4616152048110962,-0.045363809913396835,-1.6214394569396973,-0.022402573376893997,-1.8487821817398071,1.5860018469393253,1.4261775948107243,0.15982425212860107,-0.009926199913024902,1.5760756470263004,0.2503039613366127,1.53
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,920365599b88585b735ecde9,738,1,mid,38,62,-1.371825098991394,-1.0167936086654663,-0.9921522736549377,-1.0326728820800781,-0.47405219078063965,-1.0591988563537598,0.3955520987510681,0.3796728253364563,0.015879273414611816,-0.35503149032592773,0.04052060842514038,0.5446260571479797,0.96
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,06673fb29d4b6e36b216db68,738,2,early,3,62,-0.9777821898460388,-1.356958031654358,-0.9016971588134766,-1.376768946647644,-0.7562804222106934,-1.4161862134933472,0.09589594602584839,0.07608503103256226,0.019810914993286133,0.3791758418083191,0.4750717878341675,0.18483400344848633,0.59
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,447638ee9f9d0d1182cb7c03,738,4,late,46,62,-1.2410707473754883,-0.5612279772758484,-0.4422362446784973,-0.7194008231163025,-0.1203654408454895,-1.1867523193359375,0.9570073485374451,0.798834502696991,0.1581728458404541,-0.6798427700996399,0.2771645784378052,0.7892223000526428,1.09
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,390941ae11801d193a6886bc,738,8,mid,30,62,-0.989176332950592,-0.8547680974006653,-0.1659020632505417,-0.6661453247070312,-0.02827887237071991,-0.7889449596405029,0.6346514970064163,0.8232742697000504,-0.18862277269363403,-0.13440823554992676,0.5002432614564896,0.26042282581329346,0.96
qwen3-4b-keep4-s42,<TRAIN_ROOT>/qwen3-4b-keep4-s42/checkpoint-417,1e4265fa876d895e98ecf483,775,1,early,8,26,-0.8598939776420593,-0.7717174887657166,-0.5766603350639343,-0.7894378900527954,-0.4200124740600586,-0.7703500986099243,0.30095404386520386,0.283233642578125,0.017720401287078857,-0.08817648887634277,0.21277755498886108,0.13756006956100464,0.71
