metric,m0,m1,diff,ci_low,ci_high,n_prompts,n_m0,n_m1,direction,m0_tag,m1_tag,purpose,motif_length
margin_c2,-0.27377033549782936,-0.1629566729752696,0.11081366252255975,0.09431770147455154,0.12797783527867068,128,512,512,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,all
gain_second,0.5360876318227383,0.5229261808981391,-0.013161450924599194,-0.027202826558095694,3.189900617143093e-05,128,512,512,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,all
gain_motif,0.2699233645230379,0.29990994873605814,0.02998658421302025,0.003933300707944909,0.05369725735225755,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,1
gain_copy,0.2775179718155414,0.2999548951629549,0.02243692334741354,-0.0038790923776105043,0.04786857274593783,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,1
gain_recovery,-0.007594607292503497,-4.494642689678585e-05,0.007549660865606711,0.00039406593668900314,0.014606035549809347,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,1
margin_c1,-0.6077199666010529,-0.5565601783901002,0.051159788210952684,0.021091811826966022,0.08306242908821555,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,1
margin_c2,-0.337796602078015,-0.25665022965404205,0.08114637242397293,0.05494104383778904,0.11024175603051845,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,1
gain_second,0.3843933532916708,0.37541525962296873,-0.008978093668702058,-0.02803122376317333,0.009221755320504595,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,1
gain_motif,0.26948612146361484,0.36257251130746226,0.09308638984384743,0.06674357865101684,0.12361829328891644,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,2
gain_copy,0.24672531569376588,0.33618895011022687,0.08946363441646099,0.063422404153971,0.11904759203898721,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,2
gain_recovery,0.022760805769848957,0.026383561197235395,0.003622755427386437,-0.006248363834833981,0.01313117670297287,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,2
margin_c1,-0.5583437328691616,-0.5132616754694936,0.045082057399667974,0.01334236257577004,0.07769655900326596,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,2
margin_c2,-0.2888576114055468,-0.15068916416203137,0.1381684472435154,0.1103598077263996,0.1694058269038578,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,2
gain_second,0.4985554998565931,0.482655922867707,-0.01589957698888611,-0.04051038578036241,0.009573351437302315,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,2
gain_motif,0.3120532696441387,0.40135167340758926,0.08929840376345055,0.061373733929684704,0.11950269871226166,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,4
gain_copy,0.29244422109331936,0.37187841220293194,0.07943419110961258,0.0526124677475309,0.10780607796623366,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,4
gain_recovery,0.019609048550819352,0.02947326120465732,0.009864212653837967,-0.002618722989711841,0.0216827425130134,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,4
margin_c1,-0.5228304503609706,-0.4792569752344207,0.043573475126549965,0.01349155838539673,0.07424324259039847,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,4
margin_c2,-0.21077718071683194,-0.07790530182683142,0.13287187889000052,0.10300006603829388,0.16697171195619367,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,4
gain_second,0.6339415446091152,0.5836550447202171,-0.050286499888898106,-0.08051800561943309,-0.02146242185999656,128,128,128,m1_lower,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,4
gain_motif,0.4226516116536345,0.45756960783455725,0.03491799618092273,-0.005114265488012392,0.07151546945074186,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,8
gain_copy,0.36309973150491714,0.4038763980497606,0.040776666544843465,0.002704410880687647,0.07654806811624437,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,8
gain_recovery,0.05955188014871737,0.053693209784796636,-0.005858670363920737,-0.017520159729204465,0.004270314630956301,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,8
margin_c1,-0.6803015594445583,-0.6241516040927308,0.05614995535182743,0.024252348710255944,0.0887689259041181,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,8
margin_c2,-0.25764994779092376,-0.1665819962581736,0.09106795153275016,0.05231288096638309,0.12861469913223117,128,128,128,m1_higher,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,8
gain_second,0.6274601295335742,0.6499784963816637,0.0225183668480895,-0.007631983304599998,0.05499060808388093,128,128,128,interval_covers_zero,qwen3-4b-cleanv2-s42,qwen3-4b-obr-p15-s42,OBR 15% minus cleaned,8
