range_type,progress_range,progress_left,progress_right,metric,m0,m1,diff_m1_minus_m0,ci_low,ci_high,m0_denominator,m1_denominator
base_bin,1.00-1.25G,1.0,1.25,new_unmatched,0.6408404776303464,0.6323498214475126,-0.008490656182833733,-0.02097669741932979,0.0042926853103987675,84333,113132
base_bin,1.00-1.25G,1.0,1.25,invalid_identity,0.0,0.0,0.0,0.0,0.0,84333,113132
base_bin,1.00-1.25G,1.0,1.25,normal_stop,0.023988237107656553,0.005860410847505569,-0.018127826260150984,-0.01973220738462351,-0.01665478593253619,84333,113132
base_bin,1.25-1.50G,1.25,1.5,new_strict_gold,0.025307194447049996,0.02100665988920932,-0.004300534557840675,-0.007207613694681113,-0.0015942605635502964,53305,96398
base_bin,1.25-1.50G,1.25,1.5,new_relaxed_gold_pair,0.08811556139198949,0.0696902425361522,-0.018425318855837286,-0.024211814000116842,-0.012551226301149758,53305,96398
base_bin,1.25-1.50G,1.25,1.5,new_valid_any,0.09034799737360473,0.07265710906865287,-0.017690888304951857,-0.023539924288026995,-0.011779012896200165,53305,96398
base_bin,1.25-1.50G,1.25,1.5,seen_triple_reuse,0.2315730231685583,0.3256395360899604,0.09406651292140208,0.07645528108451898,0.11071232038607237,53305,96398
base_bin,1.25-1.50G,1.25,1.5,gold_pair_already_covered_variant,0.026095113028796548,0.023724558600800846,-0.002370554427995702,-0.005749733564244015,0.0008451503723656727,53305,96398
base_bin,1.25-1.50G,1.25,1.5,new_unmatched,0.6189100459619172,0.5686321292972883,-0.050277916664628886,-0.0666998601249624,-0.03326024664002154,53305,96398
base_bin,1.25-1.50G,1.25,1.5,invalid_identity,0.0,0.0,0.0,0.0,0.0,53305,96398
base_bin,1.25-1.50G,1.25,1.5,normal_stop,0.033073820467123156,0.009346666943297579,-0.023727153523825577,-0.0258979427023169,-0.02166163246404253,53305,96398
base_bin,>=1.50G,1.5,inf,new_strict_gold,0.010689142440978334,0.002863035068315842,-0.007826107372662492,-0.009753465255101025,-0.006099741145970406,131816,1035265
base_bin,>=1.50G,1.5,inf,new_relaxed_gold_pair,0.035147478303089154,0.009219861581334247,-0.025927616721754906,-0.030671483449451854,-0.02178473420893659,131816,1035265
base_bin,>=1.50G,1.5,inf,new_valid_any,0.036384050494628874,0.009704761582783153,-0.02667928891184572,-0.03153663889167121,-0.02238080716178917,131816,1035265
base_bin,>=1.50G,1.5,inf,seen_triple_reuse,0.49696546701462646,0.823827715609047,0.32686224859442053,0.2801014290481369,0.37611557101507986,131816,1035265
base_bin,>=1.50G,1.5,inf,gold_pair_already_covered_variant,0.012373308247860653,0.004375691248134536,-0.007997616999726117,-0.010085729444472974,-0.006260607120834011,131816,1035265
base_bin,>=1.50G,1.5,inf,new_unmatched,0.42754293864174303,0.15714430604724394,-0.2703986325944991,-0.31542839321858096,-0.22811780803025816,131816,1035265
base_bin,>=1.50G,1.5,inf,invalid_identity,0.0,0.0,0.0,0.0,0.0,131816,1035265
base_bin,>=1.50G,1.5,inf,normal_stop,0.026734235601140983,0.004947525512791411,-0.02178671008834957,-0.024641064746641617,-0.019307629019078024,131816,1035265
aggregate,0.50-1.00G,nan,nan,new_strict_gold,0.06785124970213072,0.06246075110110516,-0.005390498601025556,-0.007922528962876074,-0.002849339645984531,222413,234083
aggregate,0.50-1.00G,nan,nan,new_relaxed_gold_pair,0.2370994501220702,0.21331749849412387,-0.02378195162794633,-0.028834006507813356,-0.018670604704196132,222413,234083
aggregate,0.50-1.00G,nan,nan,new_valid_any,0.2388394563267435,0.2152527095090203,-0.023586746817723186,-0.028662173456036177,-0.018497753509704517,222413,234083
